출동서센터,출동차수,차량호수,차량동태,진행일시,관제일련번호,관제진행일시,관제내역
동촌119안전센터,1,1000001079,출동보고,2024-08-01 1:51,8,2024-08-01 1:51,[동촌119-동촌구급(구급차)][AVL 입력자(동촌구급)]출동보고
무열로119안전센터,1,1000000830,현장도착보고,2024-08-01 2:05,34,2024-08-01 2:05,[무열로119-무열로펌프(펌프차)][AVL 입력자(무열로펌프)]현장도착보고
무열로119안전센터,1,1000000830,출동보고,2024-08-01 1:50,7,2024-08-01 1:50,[무열로119-무열로펌프(펌프차)][AVL 입력자(무열로펌프)]출동보고
무열로119안전센터,4,1000001025,현장도착보고,2024-08-01 2:07,39,2024-08-01 2:07,[무열로119-무열로구급(구급차)][AVL 입력자(무열로구급)]현장도착보고
무열로119안전센터,4,1000001025,출동보고,2024-08-01 2:03,32,2024-08-01 2:03,[무열로119-무열로구급(구급차)][AVL 입력자(무열로구급)]출동보고
율하119안전센터,3,1000000857,출동보고,2024-08-01 1:54,17,2024-08-01 1:54,[율하119-율하구급(구급차)][AVL 입력자(율하구급)]출동보고
율하119안전센터,3,1000000857,현장도착보고,2024-08-01 1:57,19,2024-08-01 1:57,[율하119-율하구급(구급차)][AVL 입력자(율하구급)]현장도착보고
율하119안전센터,3,1000000959,출동보고,2024-08-01 1:54,18,2024-08-01 1:54,[율하119-율하펌프(호)(펌프차)][AVL 입력자(율하펌프(호))]출동보고
율하119안전센터,3,1000000959,현장도착보고,2024-08-01 1:59,25,2024-08-01 1:59,[율하119-율하펌프(호)(펌프차)][AVL 입력자(율하펌프(호))]현장도착보고
동부구급대,1,1000001165,출동보고,2024-08-01 1:50,6,2024-08-01 1:50,[동부구급대-동부본대1차(구급차)][AVL 입력자(동부본대1차)]출동보고
동부구급대,1,1000001165,현장도착보고,2024-08-01 1:53,7,2024-08-01 1:53,[동부구급대-동부본대1차(구급차)][AVL 입력자(동부본대1차)]현장도착보고
송현119안전센터,1,1000001067,출동보고,2024-08-01 1:55,4,2024-08-01 1:55,[송현119-송현구급(구급차)][AVL 입력자(송현구급)]출동보고
송현119안전센터,1,1000001067,현장도착보고,2024-08-01 1:58,5,2024-08-01 1:58,[송현119-송현구급(구급차)][AVL 입력자(송현구급)]현장도착보고
119특수구조대,1,1000001089,출동보고,2024-08-01 2:03,16,2024-08-01 2:03,[119특수구조대-드론관제지휘(특수구조대차)][AVL 입력자(드론관제지휘)]출동보고
대현119안전센터,1,1000000688,출동보고,2024-08-01 2:04,25,2024-08-01 2:04,[대현119-대현탱크(탱크차)][AVL 입력자(대현탱크)]출동보고
대현119안전센터,1,1000000688,현장도착보고,2024-08-01 2:11,78,2024-08-01 2:11,[대현119-대현탱크(탱크차)]현장도착보고
대현119안전센터,1,1000000825,현장도착보고,2024-08-01 2:09,68,2024-08-01 2:09,[대현119-대현펌프(펌프차)][AVL 입력자(대현펌프)]현장도착보고
대현119안전센터,1,1000000825,출동보고,2024-08-01 2:04,23,2024-08-01 2:04,[대현119-대현펌프(펌프차)][AVL 입력자(대현펌프)]출동보고
동부구조대,1,1000000580,출동보고,2024-08-01 2:04,22,2024-08-01 2:04,[동부구조대-동부구조공작(구조대차)][AVL 입력자(동부구조공작)]출동보고
동부구조대,1,1000000580,현장도착보고,2024-08-01 2:10,71,2024-08-01 2:10,[동부구조대-동부구조공작(구조대차)][AVL 입력자(동부구조공작)]현장도착보고
복현119지역대,2,1000001242,출동보고,2024-08-01 2:04,27,2024-08-01 2:04,[복현지역대-복현펌프(카)(펌프차)][AVL 입력자(복현펌프(카))]출동보고
북부구급대,1,1000001076,출동보고,2024-08-01 2:05,36,2024-08-01 2:05,[북부구급대-북부특별1차(구급차)][AVL 입력자(북부특별1차)]출동보고
북부구급대,1,1000001076,현장도착보고,2024-08-01 2:09,67,2024-08-01 2:09,[북부구급대-북부특별1차(구급차)][AVL 입력자(북부특별1차)]현장도착보고
북부구조대,1,1000000775,현장도착보고,2024-08-01 2:08,58,2024-08-01 2:08,[북부구조대-북부구조공작(구조대차)][AVL 입력자(북부구조공작)]현장도착보고
북부구조대,1,1000000775,출동보고,2024-08-01 2:03,11,2024-08-01 2:03,[북부구조대-북부구조공작(구조대차)][AVL 입력자(북부구조공작)]출동보고
비산119안전센터,2,1000000866,현장도착보고,2024-08-01 2:09,69,2024-08-01 2:09,[비산119-비산탱크(탱크차)]현장도착보고
비산119안전센터,2,1000000866,출동보고,2024-08-01 2:06,39,2024-08-01 2:06,[비산119-비산탱크(탱크차)][AVL 입력자(비산탱크)]출동보고
비산119안전센터,2,1000001049,출동보고,2024-08-01 2:05,37,2024-08-01 2:05,[비산119-비산펌프(카)(펌프차)][AVL 입력자(비산펌프(카))]출동보고
비산119안전센터,2,1000001049,현장도착보고,2024-08-01 2:09,60,2024-08-01 2:09,[비산119-비산펌프(카)(펌프차)][AVL 입력자(비산펌프(카))]현장도착보고
서문로119안전센터,1,1000000832,현장도착보고,2024-08-01 2:09,62,2024-08-01 2:09,[서문로119-서문로펌프(펌프차)][AVL 입력자(서문로펌프)]현장도착보고
서문로119안전센터,1,1000000832,출동보고,2024-08-01 2:04,34,2024-08-01 2:04,[서문로119-서문로펌프(펌프차)][AVL 입력자(서문로펌프)]출동보고
칠성119안전센터,1,1000000647,출동보고,2024-08-01 2:04,28,2024-08-01 2:04,[칠성119-칠성굴절(35m)(굴절차)][AVL 입력자(칠성굴절(35m))]출동보고
칠성119안전센터,1,1000000647,현장도착보고,2024-08-01 2:08,51,2024-08-01 2:08,[칠성119-칠성굴절(35m)(굴절차)]현장도착보고
