암호화요양기호,요양기관명,총의사수,의과전문의 인원수,CT보유대수,MRI보유대수
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQzIyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz,서울리엘피부과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQyIyQ3IyQwMCQzNjEyMjIjNzEjJDEjJDgjJDgz,서울림치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,서울마디시원신경과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQ3IyQ5MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,서울미치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ1IyQ2MiQzNjEyMjIjNjEjJDEjJDQjJDgz,서울바른치과교정과치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ5IyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz,서울바른플란트치과의원,3,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz,서울바른피부과의원,4,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,서울범어치과교정과치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,서울베리굿치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNjEjJDEjJDQjJDgz,서울본신경외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz,서울새론안과 의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,서울성모속맑은내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,서울성모의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,서울속연합내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,서울수려한치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQxMyQyNjE0ODEjNjEjJDEjJDAjJDgz,서울스마트피부과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ5MiQzNjE0ODEjNjEjJDEjJDgjJDgz,서울아산내과의원,4,4,1.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,서울아산속내과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,서울안과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,서울얀치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,서울에스(S) 치과의원,3,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,서울에이스마취통증의학과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,서울연합마취통증의학과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNzEjJDEjJDgjJDgz,서울오한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ2MiQyNjEwMDIjNjEjJDEjJDgjJDgz,서울웰플란트치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,서울정치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQyNjEyMjIjODEjJDEjJDYjJDgz,서울중앙의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,서울척척의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQxMyQ0NjE0ODEjNjEjJDEjJDQjJDgz,서울치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,서울탑플란트치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,서울태365한의원,3,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ3MiQzNjE4MzIjODEjJDEjJDIjJDgz,서울패밀리치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjODEjJDEjJDYjJDgz,서울프라임치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz,서울한스치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,서원치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNTEjJDEjJDYjJDgz,서재강수한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz,서재동산연합정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,서재연합의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQxIyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,서재연합치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ3MiQyNjEyMjIjNzEjJDEjJDgjJDgz,서재외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,서재한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,서정소아과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,서정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,서주내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,서진한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQyIyQxIyQwMCQzNjE4MzIjNjEjJDEjJDAjJDgz,서창우치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjE4MzIjNzEjJDEjJDgjJDgz,서치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDIjJDgz,서태원치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,서해진소아청소년과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjODEjJDEjJDYjJDgz,서현수치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,서현지소아청소년과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz,서혜상내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz,석경한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,석산한의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,석예치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQyIyQ1IyQwMCQ0NjE0ODEjNjEjJDEjJDAjJDgz,석이비인후과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,석지혜산부인과  의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz,석피부과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQxMyQzNjE0ODEjNTEjJDEjJDYjJDgz,석한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,석한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,선내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQyNjE0ODEjNTEjJDEjJDIjJDgz,선비뇨기과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjNjEjJDEjJDQjJDgz,선우속시원내과의원,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,선우신경외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,선우한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,선우한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,선일외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,선재한의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQ3IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,선제한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,선진요양병원,5,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz,선진한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz,선치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQxMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,선한내과연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjE4MzIjNjEjJDEjJDQjJDgz,설명한의원,4,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,설플란트치과의원,3,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz,섬기는내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjE4MzIjNzEjJDEjJDgjJDgz,성균관한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQxMyQyNjEyMjIjODEjJDEjJDYjJDgz,성누가의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDQjJDgz,성누가종합내과외과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQzNjEwMDIjNjEjJDEjJDgjJDgz,성누가치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ5MiQzNjEwMDIjODEjJDEjJDIjJDgz,성당새로이치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,성당손한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,성당연합정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,성당온치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,성당이비인후과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjNDEjJDEjJDgjJDgz,성당탑치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQzIyQ3MiQzNjEyMjIjODEjJDEjJDIjJDgz,성당행복을심는치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNjEjJDEjJDgjJDgz,성도내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQwMyQzNjEwMDIjNDEjJDEjJDQjJDgz,성동마취통증의학과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNTEjJDEjJDYjJDgz,성동병원,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQyIyQ1IyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,성림한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,성모내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,성모신경정신과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjODEjJDEjJDIjJDgz,성모아이한의원,0,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz,성모안과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,성모에이스정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,성모여성의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjNjEjJDEjJDAjJDgz,성모연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjEyMjIjNjEjJDEjJDQjJDgz,성모연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ2MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,성모이비인후과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQyIyQ3IyQwMCQzNjE0ODEjNzEjJDEjJDgjJDgz,성모한방병원,6,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5MiQ0NjE0ODEjODEjJDEjJDYjJDgz,성모한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,성북우리들의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQwMyQzNjEyMjIjNDEjJDEjJDQjJDgz,성서마디정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjODEjJDEjJDIjJDgz,성서미치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjE0ODEjNzEjJDEjJDgjJDgz,성서병원,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQ3IyQ2MiQyNjEyMjIjNjEjJDEjJDAjJDgz,성서부부치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,성서속내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,성서씨엘의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,성서연합외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjE0ODEjNzEjJDEjJDgjJDgz,성서연합치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjE0ODEjNjEjJDEjJDQjJDgz,성서요양병원,4,2,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,성서정신과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,성서정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,성서제일신경외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,성서제일안과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,성서중앙성신한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzUxIyQxIyQxIyQ2MiQzNjEwMDIjODEjJDEjJDYjJDgz,성서치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,성서한마음연합소아청소년과의원,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQyIyQxIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,성수치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzExIyQxIyQ3IyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,성수한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjODEjJDEjJDYjJDgz,성신연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,성심내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDQjJDgz,성심연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,성심연합치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjNjEjJDEjJDgjJDgz,성심요양병원,7,5,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNTEjJDEjJDIjJDgz,성심한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,성심한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDAjJDgz,성심한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,성영주치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,성요셉요양병원,6,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjODEjJDEjJDYjJDgz,성원치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,성원한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzExIyQxIyQzIyQwMyQyNjEyMjIjNjEjJDEjJDgjJDgz,성제국한의원,1,0,0.0,0.0
