암호화요양기호,요양기관명,총의사수,의과전문의 인원수,CT보유대수,MRI보유대수
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,강남삼성내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ3OSQzNjEwMDIjNjEjJDEjJDAjJDgz,강남성심신경과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,강남수의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNDEjJDEjJDQjJDgz,강남아이산부인과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz,강남연합정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,강남요양병원,4,3,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNDEjJDEjJDQjJDgz,강남정신건강의학과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjEwMDIjODEjJDEjJDYjJDgz,강남종합병원,25,25,2.0,2.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQzIyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz,강남치과의원,3,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,강남퍼스트성형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강남한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQ3IyQ5OSQyNjE4MzIjODEjJDEjJDIjJDgz,강남한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNTEjJDEjJDIjJDgz,강동연합의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQwMyQyNjE0ODEjNjEjJDEjJDAjJDgz,강동연합의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzExIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강동한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQyIyQxIyQwMCQyNjE4MzIjODEjJDEjJDYjJDgz,강미정연합내과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,강북가톨릭정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzMxIyQxIyQzIyQ5MiQyNjEyMjIjNjEjJDEjJDgjJDgz,강북동산치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQxIyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,강북리더스치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxOTYxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNjEjJDEjJDQjJDgz,강북보건지소,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ3MiQzNjEyMjIjNTEjJDEjJDIjJDgz,강북연합내과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ3MiQ0NjE0ODEjODEjJDEjJDIjJDgz,강북예스치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjODEjJDEjJDIjJDgz,강북요양병원,5,3,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQxMyQyNjE0ODEjODEjJDEjJDIjJDgz,강북치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ1IyQ4OSQ0NjEwMDIjODEjJDEjJDIjJDgz,강북퍼스트치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,강북푸른정형외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ5MiQyNjE4MzIjODEjJDEjJDIjJDgz,강북학운외과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQyNjEwMDIjODEjJDEjJDIjJDgz,강북한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQyIyQ1IyQwMCQzNjE0ODEjNjEjJDEjJDgjJDgz,강북행복을심는치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,강산한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ4MiQyNjE0ODEjNjEjJDEjJDgjJDgz,강석진웰키움소아청소년과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz,강성치과의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz,강수희의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,강신호한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,강심내과의원,3,3,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjODEjJDEjJDIjJDgz,강앤정신경과신경외과의원,2,2,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ5IyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,강영우한의원,1,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz,강은혜산부인과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz,강의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz,강정신건강의학과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQzNjE0ODEjODEjJDEjJDIjJDgz,강지원이비인후과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzQxIyQyIyQ3IyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz,강창더좋은치과의원,2,0,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,강창수비뇨기과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,강촌내과의원,1,1,0.0,0.0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEyMjIjNDEjJDEjJDgjJDgz,강촌치과의원,1,0,0.0,0.0
